=== FOREST1 ===
Request Name,Request Type,Num Requests,Num Failures,Median Response Time (ms),Average Response Time (ms),Min Response Time (ms),Max Response Time (ms),Total Bytes,Avg Bytes/Request,Custom Doc Count,Avg Docs/Request,Custom Min Latency,Custom Max Latency,Avg CPU Delta,Avg Memory Working Set
[forest1] arbres_par_plot_sousplot,COUCHDB,50,0,1200.0,1220.8960628509521,1063.284158706665,1574.8083591461182,19237200,384744.0,18950,379.0,1063.28,1574.81,1407253660.0,1126467256.32
[forest1] especes_par_plot_sousplot,COUCHDB,50,0,1300.0,1370.1662063598633,1187.3371601104736,1697.148084640503,6714350,134287.0,18950,379.0,1187.34,1697.15,3139559180.0,1114961018.88
[forest1] especes_par_plot,COUCHDB,50,0,320.0,360.6283473968506,295.1812744140625,611.3083362579346,1842400,36848.0,1150,23.0,295.18,611.31,1264231600.0,1112284610.56
[forest1] nb_especes_par_plot_sousplot,COUCHDB,50,0,1300.0,1349.0533542633057,1182.7473640441895,1912.064552307129,572700,11454.0,18950,379.0,1182.75,1912.06,2506472920.0,1107078430.72
[forest1] nb_especes_par_plot,COUCHDB,50,0,310.0,347.1586608886719,281.3699245452881,586.4193439483643,40550,811.0,1150,23.0,281.37,586.42,912758820.0,1104299950.08
[forest1] plots_sousplots_location,COUCHDB,50,0,320.0,356.06658935546875,295.02415657043457,579.063892364502,41700,834.0,1150,23.0,295.02,579.06,536927680.0,1102462976.0

=== FOREST2 ===
Request Name,Request Type,Num Requests,Num Failures,Median Response Time (ms),Average Response Time (ms),Min Response Time (ms),Max Response Time (ms),Total Bytes,Avg Bytes/Request,Custom Doc Count,Avg Docs/Request,Custom Min Latency,Custom Max Latency,Avg CPU Delta,Avg Memory Working Set
[forest2] arbres_par_plot_sousplot,COUCHDB,50,0,1000.0,1081.5390920639038,900.7430076599121,1442.8002834320068,19237200,384744.0,18950,379.0,900.74,1442.8,1403752840.0,1098976215.04
[forest2] especes_par_plot_sousplot,COUCHDB,50,0,1100.0,1206.2353897094727,1044.189453125,1690.7575130462646,6714350,134287.0,18950,379.0,1044.19,1690.76,2027533120.0,1099998658.56
[forest2] especes_par_plot,COUCHDB,50,0,290.0,326.7152452468872,270.2898979187012,561.0394477844238,1840100,36802.0,1150,23.0,270.29,561.04,858319020.0,1099454545.92
[forest2] nb_especes_par_plot_sousplot,COUCHDB,50,0,1100.0,1154.9221897125244,981.0421466827393,1547.6057529449463,572700,11454.0,18950,379.0,981.04,1547.61,1488874080.0,1100049940.48
[forest2] nb_especes_par_plot,COUCHDB,50,0,270.0,321.43622398376465,256.48999214172363,659.5158576965332,38250,765.0,1150,23.0,256.49,659.52,558358280.0,1100031426.56
[forest2] plots_sousplots_location,COUCHDB,50,0,230.0,269.6255397796631,211.22431755065918,467.33856201171875,145750,2915.0,1150,23.0,211.22,467.34,277366160.0,1100023726.08

=== FOREST3 ===
Request Name,Request Type,Num Requests,Num Failures,Median Response Time (ms),Average Response Time (ms),Min Response Time (ms),Max Response Time (ms),Total Bytes,Avg Bytes/Request,Custom Doc Count,Avg Docs/Request,Custom Min Latency,Custom Max Latency,Avg CPU Delta,Avg Memory Working Set
[forest3] arbres_par_plot_sousplot,COUCHDB,50,0,1500.0,1607.4429607391357,1401.057243347168,2064.0406608581543,19237200,384744.0,18950,379.0,1401.06,2064.04,2263083520.0,1125846466.56
[forest3] especes_par_plot_sousplot,COUCHDB,50,0,1400.0,1533.7404012680054,1361.4602088928223,2016.4575576782227,6771200,135424.0,18950,379.0,1361.46,2016.46,2473578520.0,1137815879.68
[forest3] especes_par_plot,COUCHDB,50,0,540.0,588.8124179840088,520.2670097351074,940.0978088378906,1843550,36871.0,1150,23.0,520.27,940.1,994626120.0,1143064248.32
[forest3] nb_especes_par_plot_sousplot,COUCHDB,50,0,1400.0,1545.185809135437,1337.9721641540527,2097.4280834198,572700,11454.0,18950,379.0,1337.97,2097.43,2194919620.0,1139484917.76
[forest3] nb_especes_par_plot,COUCHDB,50,0,540.0,588.2139873504639,522.6821899414062,898.3571529388428,38250,765.0,1150,23.0,522.68,898.36,915994220.0,1144564613.12
[forest3] plots_sousplots_location,COUCHDB,50,0,230.0,286.5849447250366,208.87112617492676,603.4200191497803,145750,2915.0,1150,23.0,208.87,603.42,413460140.0,1144104714.24

