Forest,Plot,PlotArea,SubPlot,TreeFieldNum,idTree,Lat,Lon,Family,Genus,Species,BotaSource,BotaCertainty,idVern,VernName,CommercialSp,CensusYear,CensusDate,CensusDateCertainty,CodeAlive,MeasCode,Circ,CircCorr,CorrCode
BAFOG,I,4,1,1,1,5.487620831,-53.9769783,Anacardiaceae,Tapirira,guianensis,Bota,3,1073,mombin blanc,FAUX,1968,01/01/1968,FAUX,VRAI,0,85.09999847,85.09999847,0
BAFOG,I,4,1,1,1,5.487620831,-53.9769783,Anacardiaceae,Tapirira,guianensis,Bota,3,1073,mombin blanc,FAUX,1970,01/01/1970,FAUX,VRAI,0,93,93,0
BAFOG,I,4,1,1,1,5.487620831,-53.9769783,Anacardiaceae,Tapirira,guianensis,Bota,3,1073,mombin blanc,FAUX,1981,01/01/1981,FAUX,VRAI,0,99.90000153,99.90000153,0
BAFOG,I,4,1,1,1,5.487620831,-53.9769783,Anacardiaceae,Tapirira,guianensis,Bota,3,1073,mombin blanc,FAUX,1984,01/01/1984,FAUX,VRAI,0,125,125,0
BAFOG,I,4,1,1,1,5.487620831,-53.9769783,Anacardiaceae,Tapirira,guianensis,Bota,3,1073,mombin blanc,FAUX,1987,01/01/1987,FAUX,VRAI,0,127.9000015,127.9000015,0
BAFOG,I,4,1,2,2,5.487564087,-53.97696686,Moraceae,Indet.Moraceae,Indet.,Bota,1,1273,pulo paya,FAUX,1968,01/01/1968,FAUX,VRAI,0,60.90000153,60.90000153,0
BAFOG,I,4,1,2,2,5.487564087,-53.97696686,Moraceae,Indet.Moraceae,Indet.,Bota,1,1273,pulo paya,FAUX,1970,01/01/1970,FAUX,VRAI,0,61.90000153,61.90000153,0
BAFOG,I,4,1,2,2,5.487564087,-53.97696686,Moraceae,Indet.Moraceae,Indet.,Bota,1,1273,pulo paya,FAUX,1981,01/01/1981,FAUX,VRAI,0,67.90000153,67.90000153,0
BAFOG,I,4,1,2,2,5.487564087,-53.97696686,Moraceae,Indet.Moraceae,Indet.,Bota,1,1273,pulo paya,FAUX,1984,01/01/1984,FAUX,VRAI,0,69.09999847,69.09999847,0
BAFOG,I,4,1,2,2,5.487564087,-53.97696686,Moraceae,Indet.Moraceae,Indet.,Bota,1,1273,pulo paya,FAUX,1987,01/01/1987,FAUX,VRAI,0,71.90000153,71.90000153,0
BAFOG,I,4,1,3,3,5.487530231,-53.9769249,Moraceae,Brosimum,rubescens,Bota,3,114,satiné rubané,VRAI,1968,01/01/1968,FAUX,VRAI,0,62.79999924,62.79999924,0
BAFOG,I,4,1,3,3,5.487530231,-53.9769249,Moraceae,Brosimum,rubescens,Bota,3,114,satiné rubané,VRAI,1970,01/01/1970,FAUX,VRAI,0,58.09999847,58.09999847,0
BAFOG,I,4,1,3,3,5.487530231,-53.9769249,Moraceae,Brosimum,rubescens,Bota,3,114,satiné rubané,VRAI,1981,01/01/1981,FAUX,VRAI,0,58.09999847,58.09999847,0
